Bye Bye Blackbird,Ray Henderson & Mort Dixon,New Real Book: Vol. 2,35
Byrd Like,Freddie Hubbard,Real Easy Book: Vol. 2,17
C,Anders Bergcrantz,European Real Book,45
Caballo Viejo,Simon Diaz,Latin Real Easy Book,10
Cachita,Rafael Hernandez,Latin Real Book,101
Cafe,Egberto Gismonti,New Real Book: Vol. 2,37
Cafe Rio,Larry Dunlap,Latin Real Easy Book,14
Camaleao,Ivan Lins,Latin Real Easy Book,16
Camaleon,Ruben Blades,Latin Real Book,103
Camina Y Prende El Fogon,Benigno Echmendia,Latin Real Book,107
Can't Stop The Wind,Paul McCandless,New Real Book: Vol. 3,67
Can't Take You Nowhere,"Tiny Kahn, Al Cohn & Dave Frishberg",All-Jazz Real Book,74
Cannonball,Josef Zawinul,World's Greatest Fakebook,45
Cantaloupe Island,Herbie Hancock,All-Jazz Real Book,76
"Cape Verdean Blues, The",Horace Silver,Real Easy Book: Vol. 3,81
Capim,Djavan,New Real Book: Vol. 2,39
Caprice,Eddie Gomez,All-Jazz Real Book,78
Capuccino,Chick Corea,World's Greatest Fakebook,49
Capullito De Aleli,Rafael Hernandez,Latin Real Book,111
Caravan,"Duke Ellington, Irving Mills & Juan Tizol",New Real Book: Vol. 3,73
Caravanessa,Joe Chambers,World's Greatest Fakebook,53
Carole's Garden,Denny Zeitlin,World's Greatest Fakebook,55
Casa Forte,Edu Lobo,New Real Book: Vol. 2,41
Cascade Of The Seven Waterfalls,Alex Malheiros,Latin Real Book,113
Cassidae,John Scofield,World's Greatest Fakebook,57
Caught Up In The Rapture,Garry Glenn & Dianne Quander,Standards Real Book,77
Caught Up in the Rapture,Glenn & Quander,Digital Standards Songbook,37
Cedar's Blues,Cedar Walton,Real Easy Book: Vol. 2,19
Celeuma,Djavan,Latin Real Easy Book,136
Central Park,Chick Corea,World's Greatest Fakebook,59
Central Park West,John Coltrane,New Real Book: Vol. 2,43
Ceora,Lee Morgan,New Real Book: Vol. 3,76
Cha - Cha - Cha (aka Calzada De Cerro),Jesus "Chucho" Valdez,Latin Real Book,115
Chain Of Fools,Don Covay,New Real Book: Vol. 1,45
Chain Of Fools,Don Covay,New Real Book: Vol. 1 - Digital Edition,45
Chairs And Children,Vince Mendoza,New Real Book: Vol. 3,77
Chakalaka,Andy Narell,Latin Real Easy Book,140
Champotch,Lennie Lasher,World's Greatest Fakebook,65
Change Of Mind,Bob Mintzer,New Real Book: Vol. 1,47
Change Of Mind,Bob Mintzer,New Real Book: Vol. 1 - Digital Edition,47
Change Of Season,Tim Garland,European Real Book,47
Changuiri,Luigi Texidor,Latin Real Book,117
"Chant, The",Victor Feldman,European Real Book,49
Charade,Henry Mancini & Johnny Mercer,Standards Real Book,79
Charade,Henry Mancini,Digital Standards Songbook,39
Charmed Circle,Cedar Walton,New Real Book: Vol. 2,45
Chega De Saudade,"Antonio Carlos Jobim, Jon Hendricks & Jessie Cavanaugh",Best of Sher Music Co.,31
Chega De Saudade (No More Blues),Antonio Carlos Jobim,New Real Book: Vol. 1,49
Chega De Saudade (No More Blues),Antonio Carlos Jobim,New Real Book: Vol. 1 - Digital Edition,49
Chelsea Bridge,Billy Strayhorn,New Real Book: Vol. 1,51
Chelsea Bridge,Billy Strayhorn,New Real Book: Vol. 1 - Digital Edition,51
Cherokee,Ray Noble,New Real Book: Vol. 2,47
Chick's Tune,Chick Corea,New Real Book: Vol. 3,79
"Child Is Born, A",Thad Jones,New Real Book: Vol. 2,346
"Child Is Born, A",Thad Jones,Real Easy Book: Vol. 2,21
"Child Is Born, A",Thad Jones,Best of Sher Music Co.,33
Children Of The Night,Wayne Shorter,World's Greatest Fakebook,67
Chile Con Soul,Charles Otwell,Real Easy Book: Vol. 3,171
Chitlins Con Carne,Kenny Burrell,All-Jazz Real Book,79
Chitlins Con Carne,Kenny Burrell,Real Easy Book: Vol. 2,23
Choices,Mike Stern,New Real Book: Vol. 2,49
Choro Das Aguas,Ivan Lins & Vitor Martins,All-Jazz Real Book,80
Chris Craft,Alan Broadbent,All-Jazz Real Book,82
"Christmas Waltz, The",Jule Styne & Sammy Cahn,Standards Real Book,81
Chromazone,Mike Stern,New Real Book: Vol. 2,51
Chucho,Paquito d'Rivera,Latin Real Easy Book,18
Circle Dance,Eddie Daniels,All-Jazz Real Book,84
Circular Motion,Phil Markowitz,New Real Book: Vol. 3,81
Cirrus,Bobby Hutcherson,New Real Book: Vol. 3,85
City By The Bay,Vince Wallace,World's Greatest Fakebook,69
Claudia,Jesus "Chucho" Valdez,Latin Real Book,127
Clockwise,Cedar Walton,New Real Book: Vol. 2,55
Close Enough For Love,Johnny Mandel & Paul Williams,Standards Real Book,83
Close Enough for Love,Mandel & Williams,Digital Standards Songbook,41
Close To You,Burt Bacharach & Hal David,Standards Real Book,85
Close Your Eyes,Bernice Petkere,New Real Book: Vol. 3,89
Cloudburst,"Jon Hendricks, Lerov Kirkland & Jimmy Harris",World's Greatest Fakebook,73
Club Morocco,Jose Roberto Bertrami & Alex Malheiros,Latin Real Book,129
Coisa Feita,Joao Bosco,Latin Real Book,131
Cold Duck Time,Eddie Harris,New Real Book: Vol. 2,56
Cold Duck Time,Eddie Harris,Real Easy Book: Vol. 1,11
Cold Duck Time,Eddie Harris,Best of Sher Music Co.,34
Come Escape With Me,Amina Figarova,European Real Book,51
Come Fly With Me,Sammy Cahn & James Van Heusen,Standards Real Book,87
Come On Home,Horace Silver,Real Easy Book: Vol. 2,25
Come Running To Me,Herbie Hancock & Allee Willis,World's Greatest Fakebook,75
Come Sunday,Duke Ellington,New Real Book: Vol. 1,52
Come Sunday,Duke Ellington,New Real Book: Vol. 1 - Digital Edition,52
Come With Me,Tania Maria,Latin Real Book,133
Compadre Pedro Juan,Luis Alberti,Latin Real Book,135
Compared To What,Eugene McDaniels,New Real Book: Vol. 1,53
Compared To What,Eugene McDaniels,New Real Book: Vol. 1 - Digital Edition,53
Concise,Salvatore Bonafede,European Real Book,53
Confirmation,Charlie Parker,Real Easy Book: Vol. 2,29
Confirmation,Charlie Parker,Best of Sher Music Co.,35
Congo Yambumba,Jesus Alfonso,Latin Real Easy Book,142
Congri,Rebeca Mauleon,All-Jazz Real Book,86
Constant Struggle,Jaromir Honzak,European Real Book,55
Contemplation,McCoy Tyner,Real Easy Book: Vol. 1,13
Contigo En La Distincia,Cesar Portillo de la Luz,Latin Real Book,137
"Continental, The",Herb Magidson & Con Conrad,Standards Real Book,89
"Continental, The",Magidson & Conrad,Digital Standards Songbook,43
Continuacion,Orlando "Maraca" Valle,All-Jazz Real Book,94
Cool Aide,Phil Woods,World's Greatest Fakebook,81
Cool Green,Kenny Drew,New Real Book: Vol. 3,90
Coralie,Enrico Pieranunzi,All-Jazz Real Book,102
Cottontail,Duke Ellington,Standards Real Book,91
Countdown,John Coltrane,All-Jazz Real Book,104
Cousin Mary,John Coltrane,Real Easy Book: Vol. 2,31
Crazeology,Charlie Parker,All-Jazz Real Book,105
Crazy He Calls Me,Bob Russell & Carl Sigman,Standards Real Book,93
